               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.024431,            0.008807,            0.023722,             0.46233,             0.51473,             0.49521,             0.23053,            0.024431,            0.007256,            0.025429,            0.009568,            0.009568,            0.009568
                  56,            0.024742,           0.0084892,            0.023547,             0.37608,             0.51126,             0.40836,             0.21474,            0.021966,           0.0067754,            0.027698,             0.00956,             0.00956,             0.00956
                  57,            0.024631,           0.0086064,            0.024213,             0.35419,             0.44371,             0.37488,             0.17883,            0.023702,           0.0070295,            0.026083,            0.009552,            0.009552,            0.009552
                  58,            0.023824,            0.008679,            0.023678,             0.37417,             0.46188,             0.41478,             0.20885,            0.023266,           0.0076585,            0.026312,            0.009544,            0.009544,            0.009544
                  59,            0.024057,           0.0085144,            0.023661,             0.26489,             0.31699,             0.21801,            0.073566,            0.030966,           0.0074363,            0.050439,            0.009536,            0.009536,            0.009536
                  60,            0.024518,           0.0084901,            0.023547,             0.34159,             0.42745,             0.37709,             0.18278,             0.02268,           0.0067363,            0.029227,            0.009528,            0.009528,            0.009528
                  61,             0.02409,           0.0090725,            0.023582,             0.48891,             0.42829,             0.40459,               0.207,            0.022851,           0.0073547,            0.025308,             0.00952,             0.00952,             0.00952
                  62,            0.024025,           0.0083094,            0.021348,             0.39748,             0.45507,             0.39164,             0.18838,             0.02452,           0.0070095,            0.032977,            0.009512,            0.009512,            0.009512
                  63,              0.0236,           0.0087978,            0.022902,             0.49007,             0.48945,              0.4584,              0.2263,             0.02222,           0.0071363,            0.023862,            0.009504,            0.009504,            0.009504
                  64,            0.023879,            0.008469,            0.021899,             0.36952,             0.45188,             0.39891,             0.18394,             0.02344,           0.0064111,            0.034103,            0.009496,            0.009496,            0.009496
                  65,            0.023669,           0.0085739,            0.021397,             0.29279,              0.4028,             0.29603,             0.12831,            0.025952,           0.0073028,            0.048773,            0.009488,            0.009488,            0.009488
                  66,             0.02362,           0.0083057,            0.021537,             0.46191,             0.49208,             0.44648,             0.22102,            0.022935,           0.0067663,            0.029605,             0.00948,             0.00948,             0.00948
                  67,            0.023822,            0.008331,            0.021843,             0.32139,              0.3536,             0.32891,             0.14574,            0.027039,           0.0073156,            0.034586,            0.009472,            0.009472,            0.009472
                  68,            0.023357,           0.0081417,            0.021151,              0.3909,              0.5101,             0.41017,             0.17709,            0.025571,           0.0067568,            0.029483,            0.009464,            0.009464,            0.009464
                  69,            0.023969,             0.00873,            0.021039,             0.42819,             0.55038,             0.47926,             0.23176,            0.022095,           0.0067735,            0.023814,            0.009456,            0.009456,            0.009456
