               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.038279,            0.032356,                   0,             0.86213,             0.74758,             0.79979,             0.26925,             0.03031,            0.011709,                   0,             0.00944,             0.00944,             0.00944
                  72,             0.03758,            0.032679,                   0,             0.88241,              0.7627,             0.83276,             0.29468,             0.02949,            0.011793,                   0,            0.009432,            0.009432,            0.009432
                  73,            0.037602,            0.032583,                   0,             0.88543,             0.79331,             0.84506,              0.2962,            0.029717,             0.01113,                   0,            0.009424,            0.009424,            0.009424
                  74,            0.038173,            0.033022,                   0,             0.87029,             0.73914,             0.80028,              0.2774,            0.030088,            0.012321,                   0,            0.009416,            0.009416,            0.009416
                  75,            0.037632,            0.032763,                   0,             0.90239,             0.77331,             0.85531,             0.31344,             0.02902,            0.011882,                   0,            0.009408,            0.009408,            0.009408
                  76,            0.037572,            0.033423,                   0,             0.89849,             0.78141,             0.84648,             0.30147,            0.029349,            0.011468,                   0,              0.0094,              0.0094,              0.0094
                  77,            0.038016,            0.033366,                   0,             0.88576,             0.79475,             0.84409,             0.29516,            0.029565,            0.011318,                   0,            0.009392,            0.009392,            0.009392
                  78,            0.037028,            0.031747,                   0,             0.91962,             0.81784,             0.88132,             0.32732,            0.028494,            0.011303,                   0,            0.009384,            0.009384,            0.009384
                  79,            0.037185,            0.031711,                   0,             0.89503,             0.79962,              0.8676,             0.32571,            0.028468,            0.011717,                   0,            0.009376,            0.009376,            0.009376
                  80,            0.037785,             0.03226,                   0,             0.91145,             0.83071,             0.88283,             0.32575,            0.028535,            0.010928,                   0,            0.009368,            0.009368,            0.009368
                  81,             0.03761,            0.031663,                   0,             0.90075,              0.7938,             0.85585,             0.30923,            0.029014,            0.011422,                   0,             0.00936,             0.00936,             0.00936
                  82,            0.037532,            0.031436,                   0,             0.91175,             0.82637,             0.88155,             0.31949,            0.028715,            0.010895,                   0,            0.009352,            0.009352,            0.009352
                  83,             0.03805,            0.032377,                   0,             0.91807,             0.83374,             0.88948,             0.33349,            0.028383,            0.010845,                   0,            0.009344,            0.009344,            0.009344
                  84,            0.037581,            0.032675,                   0,             0.90051,             0.80642,             0.86585,              0.3133,            0.029037,            0.011091,                   0,            0.009336,            0.009336,            0.009336
                  85,            0.037086,            0.031008,                   0,             0.89368,             0.80815,             0.85386,             0.30015,            0.029387,            0.011105,                   0,            0.009328,            0.009328,            0.009328
                  86,            0.037541,            0.032614,                   0,              0.8921,             0.78791,             0.84175,             0.29486,            0.029539,            0.011251,                   0,             0.00932,             0.00932,             0.00932
                  87,            0.036867,            0.031428,                   0,             0.88651,             0.80065,             0.84031,             0.28619,            0.029675,            0.011088,                   0,            0.009312,            0.009312,            0.009312
                  88,            0.037651,            0.032386,                   0,              0.9146,             0.82174,              0.8828,             0.32506,             0.02853,            0.010914,                   0,            0.009304,            0.009304,            0.009304
                  89,            0.037518,            0.032702,                   0,             0.91568,             0.81637,             0.88508,             0.33442,            0.028367,            0.011244,                   0,            0.009296,            0.009296,            0.009296
                  90,            0.037116,            0.033233,                   0,             0.90966,             0.78459,             0.86873,             0.32397,            0.028696,            0.011855,                   0,            0.009288,            0.009288,            0.009288
                  91,            0.037613,            0.032149,                   0,             0.89709,             0.77736,             0.85557,             0.30624,            0.029233,            0.011423,                   0,             0.00928,             0.00928,             0.00928
                  92,            0.037668,            0.032709,                   0,             0.86705,             0.75914,             0.81061,             0.27776,            0.030226,            0.011546,                   0,            0.009272,            0.009272,            0.009272
                  93,            0.037588,            0.033199,                   0,             0.92087,             0.83779,             0.89646,             0.33952,            0.028073,            0.010803,                   0,            0.009264,            0.009264,            0.009264
                  94,            0.037267,            0.032232,                   0,             0.90783,             0.81914,             0.87913,             0.31816,            0.028765,            0.011014,                   0,            0.009256,            0.009256,            0.009256
