               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.041624,            0.033989,          0.00090317,             0.58674,              0.4974,             0.48438,             0.19291,            0.035966,            0.028939,           0.0009934,            0.008272,            0.008272,            0.008272
                 110,            0.042216,            0.034157,           0.0010521,             0.60086,             0.49642,             0.48597,             0.19341,            0.035958,            0.028935,          0.00098835,            0.008256,            0.008256,            0.008256
                 111,             0.04182,            0.034643,          0.00093349,             0.60048,             0.49435,              0.4848,              0.1934,             0.03595,            0.028931,          0.00098469,             0.00824,             0.00824,             0.00824
                 112,            0.041969,            0.033906,           0.0010022,             0.59854,             0.49605,             0.48413,             0.19332,            0.035943,            0.028922,          0.00098459,            0.008224,            0.008224,            0.008224
                 113,            0.041773,            0.034021,           0.0010683,             0.60056,              0.4964,             0.48454,             0.19396,            0.035935,            0.028918,          0.00098715,            0.008208,            0.008208,            0.008208
                 114,             0.04148,             0.03377,          0.00088224,             0.59708,             0.49617,             0.48575,             0.19368,            0.035928,            0.028914,          0.00098815,            0.008192,            0.008192,            0.008192
                 115,            0.041424,            0.033186,           0.0010566,             0.57211,             0.50828,             0.48615,             0.19406,             0.03592,            0.028906,          0.00098804,            0.008176,            0.008176,            0.008176
                 116,            0.041735,            0.033949,          0.00087789,              0.5721,             0.50988,             0.48664,             0.19488,            0.035911,            0.028896,          0.00098466,             0.00816,             0.00816,             0.00816
                 117,            0.041456,            0.033474,          0.00087311,             0.57461,             0.50832,             0.48669,             0.19523,            0.035902,            0.028884,          0.00098335,            0.008144,            0.008144,            0.008144
                 118,             0.04182,            0.033984,          0.00086359,             0.59929,             0.49681,             0.48755,             0.19495,            0.035894,            0.028875,          0.00098326,            0.008128,            0.008128,            0.008128
                 119,            0.041194,            0.032672,          0.00089053,             0.57557,             0.50392,             0.49032,             0.19577,            0.035886,            0.028864,          0.00098292,            0.008112,            0.008112,            0.008112
                 120,            0.041936,            0.033551,          0.00083882,             0.57524,             0.51057,              0.4929,             0.19634,            0.035877,            0.028858,          0.00098183,            0.008096,            0.008096,            0.008096
                 121,            0.041498,            0.033176,           0.0008755,             0.57494,             0.50891,             0.49355,             0.19676,             0.03587,             0.02885,          0.00098167,             0.00808,             0.00808,             0.00808
                 122,            0.041473,            0.033555,          0.00081671,              0.5769,              0.5101,             0.49299,             0.19703,            0.035862,            0.028841,          0.00098214,            0.008064,            0.008064,            0.008064
                 123,            0.041382,             0.03383,          0.00082439,             0.57807,             0.51198,             0.49113,             0.19718,            0.035855,             0.02883,          0.00098084,            0.008048,            0.008048,            0.008048
                 124,            0.041539,            0.033485,           0.0008231,             0.57981,             0.51224,             0.49033,             0.19671,            0.035848,            0.028819,            0.000979,            0.008032,            0.008032,            0.008032
                 125,              0.0414,             0.03298,          0.00083354,             0.57833,             0.51469,             0.49352,             0.19759,            0.035841,            0.028811,           0.0009795,            0.008016,            0.008016,            0.008016
                 126,            0.041569,            0.033938,          0.00086408,             0.57803,             0.51348,             0.49316,             0.19792,            0.035834,            0.028803,          0.00097989,               0.008,               0.008,               0.008
                 127,            0.041287,            0.033113,          0.00084308,             0.57642,             0.51109,             0.49294,             0.19818,            0.035826,            0.028788,          0.00097969,            0.007984,            0.007984,            0.007984
                 128,            0.041522,            0.033565,          0.00078019,              0.5771,              0.5112,             0.49432,             0.19812,            0.035819,            0.028778,          0.00097743,            0.007968,            0.007968,            0.007968
                 129,            0.041479,            0.033715,           0.0008436,             0.57884,             0.51185,             0.49178,             0.19841,            0.035812,            0.028769,          0.00097623,            0.007952,            0.007952,            0.007952
                 130,            0.041014,            0.033347,          0.00080539,             0.57825,             0.51136,             0.49135,             0.19827,            0.035804,            0.028759,          0.00097589,            0.007936,            0.007936,            0.007936
                 131,            0.041257,            0.033677,           0.0010343,             0.57841,             0.51329,             0.49239,             0.19887,            0.035797,             0.02875,           0.0009749,             0.00792,             0.00792,             0.00792
                 132,            0.041577,            0.034218,          0.00098989,             0.57968,             0.51477,             0.49415,             0.19886,             0.03579,            0.028743,          0.00097559,            0.007904,            0.007904,            0.007904
                 133,             0.04156,            0.034497,          0.00085649,               0.586,             0.51282,             0.49518,             0.19913,            0.035784,            0.028736,          0.00097779,            0.007888,            0.007888,            0.007888
                 134,            0.041041,            0.033527,          0.00080691,             0.58317,             0.51591,             0.49512,             0.19907,            0.035778,            0.028727,          0.00097939,            0.007872,            0.007872,            0.007872
                 135,            0.041062,            0.032941,          0.00077105,             0.59286,             0.51209,             0.49612,             0.19953,            0.035772,            0.028714,          0.00097959,            0.007856,            0.007856,            0.007856
                 136,            0.041422,            0.033903,          0.00078425,              0.5934,             0.51204,             0.49588,             0.19924,            0.035765,            0.028704,          0.00097906,             0.00784,             0.00784,             0.00784
                 137,            0.041427,            0.033792,           0.0007594,             0.59428,             0.51385,             0.49588,             0.19957,            0.035758,            0.028695,          0.00097883,            0.007824,            0.007824,            0.007824
